date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-12 18:59:17,CarlosCapi91,,0,0,1,"Domingo 12-4-2020 hoy ha acabado la Semana Santa, ha sido la peor de toda la vida y hablo por todos sus amantes los cofrades costaleros nazarenos penitentes músicos... el coronavirus ha quitado la alegría de muchísima gente también ha matado a miles de personas, es tristísimo ",,,,1249411787302277122,https://twitter.com/CarlosCapi91/status/1249411787302277122
2020-04-12 14:01:42,Navarroantolin,,0,1,1,"Coronavirus en Sevilla: la Semana Santa concluye con 1.400 denuncias de la Policía Local https://www.diariodesevilla.es/sevilla/Coronavirus-Sevilla-Semana-Santa-1400-denuncias-Policia-local_0_1454854701.html?utm_source=twitter.com&amp;utm_medium=socialshare&amp;utm_campaign=mobile_web vía @diariosevilla",,@diariosevilla,,1249336897148723200,https://twitter.com/Navarroantolin/status/1249336897148723200
2020-04-12 13:20:30,Frojasvaz,,0,1,0,"Los idiotas superan a los fallecidos. Coronavirus en Sevilla: la Semana Santa concluye con 1.400 denuncias de la Policía Local https://www.diariodesevilla.es/sevilla/Coronavirus-Sevilla-Semana-Santa-1400-denuncias-Policia-local_0_1454854701.html?utm_source=twitter.com&amp;utm_medium=socialshare&amp;utm_campaign=mobile_web vía @diariosevilla",,@diariosevilla,,1249326527680057344,https://twitter.com/Frojasvaz/status/1249326527680057344
2020-04-12 11:31:13,aspo_sevilla,,1,7,10,"Coronavirus en Sevilla: la Semana Santa concluye con 1.400 denuncias de la Policía Local https://www.diariodesevilla.es/sevilla/Coronavirus-Sevilla-Semana-Santa-1400-denuncias-Policia-local_0_1454854701.html?utm_source=twitter.com&amp;utm_medium=socialshare&amp;utm_campaign=mobile_web",,,,1249299026266251264,https://twitter.com/aspo_sevilla/status/1249299026266251264
2020-04-11 21:45:00,pasionensevilla,,0,2,22,"[GALERÍA] Semana Santa en tiempo de coronavirus, por J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550091214-20200410152310_galeria.html #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1249091101417299968,https://twitter.com/pasionensevilla/status/1249091101417299968
2020-04-11 21:05:56,MaratonSevilla,,0,1,3,"Semana Santa en tiempos del coronavirus (y II) https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550316468-20200411083643_galeria.html?vca=rrss-inducido&amp;vmc=abcdesevilla-es&amp;vso=tw&amp;vli=fotogaleria-vertical#imagen2 vía @abcdesevilla",,@abcdesevilla,,1249081270275125250,https://twitter.com/MaratonSevilla/status/1249081270275125250
2020-04-11 20:46:38,HugoSantanderB,,1,0,0,"Día 29 - Hoy otros 5km por el piso, la cuestión es hacer algo de ejercicio todos los días. Ya casi acabando las vacaciones de Semana Santa, que cortas se están haciendo. #CuarentenaCoronavirus #Diariodecuarentena #coronavirus #COVID19 #YoMeQuedoEnCasa #teletrabajo",,,#CuarentenaCoronavirus #Diariodecuarentena #coronavirus #COVID19 #YoMeQuedoEnCasa #YoMeQuedoEnCasa #teletrabajo,1249076412318912513,https://twitter.com/HugoSantanderB/status/1249076412318912513
2020-04-11 20:07:23,anonimojerezano,andmardi,2,0,1,"Y es que hasta encima si no fuese nada de coronavirus es haciendose el graciosillo ateo en semana santa...",,,,1249066537094430722,https://twitter.com/anonimojerezano/status/1249066537094430722
2020-04-11 19:45:00,pasionensevilla,,0,2,8,"[GALERÍA] Semana Santa en tiempo de coronavirus, por J. J. Úbeda https://sevilla.abc.es/sevilla/semana-santa/sevi-semana-santa-tiempos-coronavirus-40550091214-20200410152310_galeria.html #SSantaSevilla20 #SSantaSevABC #MomentosPS #SábadoSanto",,,#SSantaSevilla20 #SSantaSevABC #MomentosPS #S,1249060902537658378,https://twitter.com/pasionensevilla/status/1249060902537658378
2020-04-11 18:31:58,SAdelanteAS,,0,0,2,"Sin lugar a dudas, la familia Gutiérrez Báez está viviendo una Semana Santa única. La de 2020 no la van, no la vamos, a olvidar nunca. La Semana Santa del coronavirus. Este es su testimonio. Una Semana Santa confinados y en familia … https://www.archisevillasiempreadelante.org/cuando-la-familia-es-el-mejor-refugio-contra-el-confinamiento-una-semana-santa-muy-especial/",,,,1249042522556547073,https://twitter.com/SAdelanteAS/status/1249042522556547073
